"Statistic","Month","State","UNIT","VALUE"
"Seasonally Adjusted Standardised Unemployment Rate","1996M09","State","%","11.2"
"Seasonally Adjusted Standardised Unemployment Rate","1996M10","State","%","11.1"
"Seasonally Adjusted Standardised Unemployment Rate","1996M11","State","%","11"
"Seasonally Adjusted Standardised Unemployment Rate","1996M12","State","%","10.9"
"Seasonally Adjusted Standardised Unemployment Rate","1997M01","State","%","10.7"
"Seasonally Adjusted Standardised Unemployment Rate","1997M02","State","%","10.6"
"Seasonally Adjusted Standardised Unemployment Rate","1997M03","State","%","10.5"
"Seasonally Adjusted Standardised Unemployment Rate","1997M04","State","%","10.3"
"Seasonally Adjusted Standardised Unemployment Rate","1997M05","State","%","10.3"
"Seasonally Adjusted Standardised Unemployment Rate","1997M06","State","%","10.4"
"Seasonally Adjusted Standardised Unemployment Rate","1997M07","State","%","10.4"
"Seasonally Adjusted Standardised Unemployment Rate","1997M08","State","%","10.4"
"Seasonally Adjusted Standardised Unemployment Rate","1997M09","State","%","10.4"
"Seasonally Adjusted Standardised Unemployment Rate","1997M10","State","%","10.4"
"Seasonally Adjusted Standardised Unemployment Rate","1997M11","State","%","9.9"
"Seasonally Adjusted Standardised Unemployment Rate","1997M12","State","%","9.3"
"Seasonally Adjusted Standardised Unemployment Rate","1998M01","State","%","8.7"
"Seasonally Adjusted Standardised Unemployment Rate","1998M02","State","%","8.5"
"Seasonally Adjusted Standardised Unemployment Rate","1998M03","State","%","8.2"
"Seasonally Adjusted Standardised Unemployment Rate","1998M04","State","%","7.8"
"Seasonally Adjusted Standardised Unemployment Rate","1998M05","State","%","7.5"
"Seasonally Adjusted Standardised Unemployment Rate","1998M06","State","%","7.4"
"Seasonally Adjusted Standardised Unemployment Rate","1998M07","State","%","7.2"
"Seasonally Adjusted Standardised Unemployment Rate","1998M08","State","%","7"
"Seasonally Adjusted Standardised Unemployment Rate","1998M09","State","%","6.8"
"Seasonally Adjusted Standardised Unemployment Rate","1998M10","State","%","6.6"
"Seasonally Adjusted Standardised Unemployment Rate","1998M11","State","%","6.4"
"Seasonally Adjusted Standardised Unemployment Rate","1998M12","State","%","6.4"
"Seasonally Adjusted Standardised Unemployment Rate","1999M01","State","%","6.2"
"Seasonally Adjusted Standardised Unemployment Rate","1999M02","State","%","6.1"
"Seasonally Adjusted Standardised Unemployment Rate","1999M03","State","%","5.9"
"Seasonally Adjusted Standardised Unemployment Rate","1999M04","State","%","5.9"
"Seasonally Adjusted Standardised Unemployment Rate","1999M05","State","%","5.8"
"Seasonally Adjusted Standardised Unemployment Rate","1999M06","State","%","5.6"
